X_mean;Y_mean;Z_mean;X_var;Y_var;Z_var;cod_instalacao
45,00479948;13,46639976;18,5016;2983,811583;0,750623888;746,5178609;414659854
42,23764644;-9,970588186;-2,688235361;2878,387854;373,9922873;1287,844381;414209298
-49,90823495;-11,94705841;-11,55058809;2610,850579;1231,146044;38,00942917;430229903
39,58064488;8,490967584;-15,04064495;2310,406141;183,2735615;538,7043172;420933314
-61,81464169;83,54149094;-22,09502322;2217,190844;2608,600699;2472,132567;413744284
-81,236841;64,76842047;24,47052616;2159,110914;545,0725529;95,99730495;412502176
10,23729684;-7,248648524;-10,88270256;2114,663383;672,461949;197,4354653;414175230
22,75636277;15,7118179;17,02636345;2097,392899;541,5809989;722,5395114;413791713
56,1553832;7,08923053;15,48923049;2059,264941;33,19334926;1268,299748;420870391
26,15555472;-18,84666644;-22,42222181;2035,238003;1177,810672;73,04283432;421042700
-46,37086924;3,692608733;-1,86260845;2032,620763;618,2989652;1991,876943;400357065
-5,562856857;47,33999957;-11,10428571;1956,39085;460,204605;1192,327429;420324756
86,63806258;-2,533548308;58,23870861;1936,357773;105,6011242;1460,802298;411369788
-6,058641198;2,581450241;8,654940786;1896,519376;92,81334843;572,1922145;421311698
50,1247051;97,51646945;-23,50823495;1786,370647;2167,877625;106,9385762;414091436
-28,34235245;-18,35999969;-19,16235285;1705,393819;2,120687978;117,1955452;411020373
12,16235266;1,597646902;8,744705676;1667,137228;684,2357055;117,2636385;420087193
-21,48666619;14,61777763;21,30888866;1636,72231;6,64287212;342,3161554;412465294
34,83096736;7,678064368;41,56064447;1624,504979;412,9174674;2678,782084;414212811
-25,1625;23,34749971;-11,09999987;1538,29132;77,50886984;152,9667842;420520230
60,86249548;-2,439230595;32,51135851;1490,731956;20,68980798;117,346194;413656623
159,128528;-29,656311;45,4245865;1484,107584;6,549975946;28,34652176;420599520
29,12816309;-12,68816313;0,793469288;1432,084187;510,086552;690,9321269;411369766
-2,029090773;6,166363653;22,93363591;1418,489686;125,6344906;552,4048809;413849473
5,724705649;-18,38705855;-3,51764698;1335,765446;2064,241586;171,3185138;414103773
-39,05142766;73,501714;-21,04114239;1324,252556;6201,421509;588,0057162;411364393
-34,27813909;15,23302294;-8,18511617;1294,194048;37,64729461;148,1631797;412790716
56,34947309;-39,31736784;-31,62157861;1274,638649;180,549511;371,7022276;421042695
-24,63647039;0,70470588;23,2764704;1219,165623;159,4818458;1698,439114;414359776
13,85333291;-58,75199891;9,545333176;1180,741062;24,66697005;15,91818874;412911147
-49,86470516;-7,603529335;-3,889411637;1168,173594;16,04967539;402,1437038;412178335
20,32333291;10,05499977;7,269999886;1164,495173;35,03650999;35,2794848;413920618
17,60057134;32,13257089;9,068571314;1156,878186;870,772272;12165,00731;413460549
-28,46042501;14,32723369;-10,11957428;1138,645577;5,393885788;26,59543348;412309015
-17,38142848;-3,634285637;19,8899998;1134,558859;87,91887159;165,4736059;413242466
12,13411743;44,51058763;15,32352918;1121,889064;187,0600842;34,32845937;412489543
18,85741904;27,94451585;53,71935453;1075,240338;1198,151002;2375,549837;411365464
5,205405241;5,721080876;-8,565405186;1073,417846;76,35744026;11,96048029;430113374
29,85764663;11,11647045;16,830588;1055,37611;822,9238498;377,3307352;412521479
-11,11636365;17,11636341;25,45090868;1055,25973;32,17011203;389,8490426;420288156
-17,06108097;16,9670267;-22,25351318;1051,939627;15,88262609;174,9321613;412436828
-37,6888848;-36,21528259;45,61195992;1035,491516;173,8980465;170,5188366;414161838
-53,07733278;19,89599961;-18,30266658;1033,855063;493,1707587;229,7771875;413449712
-43,3079992;-1,339999968;-31,33199952;1016,722492;2,891503341;671,2650071;412359570
-16,31949332;17,98967343;-39,36340622;988,0519051;45,89589237;5079,133427;413890754
13,44367327;-49,47795806;25,69469347;985,2117447;714,7739033;341,9295712;430214244
-13,79999961;32,34765943;-27,30510576;985,1507651;2116,332544;487,4878317;400174858
37,89764663;8,736470478;16,6823528;968,0876341;54,46282694;51,10890604;411369770
35,15764661;4,068235222;3,231764669;946,9085456;358,278181;12,71549041;411631547
-36,70563739;-17,85949415;-19,81648071;932,7020571;440,2886103;406,3233519;430193602
30,51866632;3,558666553;-1,041333354;895,5864131;59,65147738;122,281386;414274365
-61,79777136;58,52122759;11,94689527;889,6434011;500,6224259;22,9647156;413015389
-48,0407988;-5,4372;7,582799788;860,8308294;533,7960774;214,6537219;410691581
14,69032264;38,60128955;-7,050967752;859,1664094;500,7665915;71,30732877;413816489
-49,21411692;25,83176433;-30,70117608;856,6759245;46,65403466;594,0376399;413184116
-32,3699993;-0,186428581;2,644285702;824,9411659;4,665690263;273,6727778;412251664
-35,11089366;1,715610439;37,53491675;817,9154479;5,859158466;446,1340654;420692212
-9,772174;20,96086932;-22,81565212;815,6952956;216,169071;1254,760101;410150959
-14,65439996;13,93679982;-14,6039998;811,8567828;52,96935442;521,6627949;413639574
10,08172915;8,387294176;-10,19289957;806,0152379;330,3717833;215,1855795;410239009
18,09680089;-4,588580569;-16,94294135;803,4990848;1197,707937;92,5304819;413903785
43,48830404;-11,20169272;-6,124978984;797,9406523;171,5748579;154,2383243;411710425
36,53882276;-6,544705733;20,92117609;783,2013482;138,8342578;204,8626724;414253458
2,101874905;8,705624822;7,904999891;762,6559051;12,45538521;6,148567284;420517365
-17,65764682;-10,28117634;44,787058;756,7560276;141,2680001;942,3161362;412087643
41,29631515;47,48578893;40,95368372;752,2429337;2747,969369;302,9703329;410372183
-33,98052559;-27,22736802;32,55473629;750,4601074;102,1368952;160,0666266;430085568
23,7061222;9,668571171;14,12081609;749,4994667;8,390699584;125,1621775;414157889
17,41499979;10,85499992;7,157499783;742,1989018;661,5149849;389,1588788;413833363
-49,9649995;51,7518745;45,76499928;736,1526126;2,351144675;165,8104197;410720317
16,51124973;17,12625004;28,66874969;728,4884017;941,0620629;247,0042565;411944682
-13,82999984;22,25999992;4,38119975;717,714546;377,1862549;203,2707577;412076429
-28,16709634;-28,90451553;21,01354813;700,9328945;97,15534608;131,7272866;414878105
24,2714997;5,390999905;43,18499927;700,2795538;14,31130099;331,2117564;414371230
45,7589995;-4,85399995;20,35499962;698,5376672;99,29250869;291,031141;430114795
23,15485676;7,042285491;-3,874285684;694,1607389;87,06707351;115,0342442;414392937
-32,51742164;5,594441086;-13,53396319;665,2675266;112,6020951;107,2469796;413576914
21,26339611;1,984077767;-24,17204341;654,5708631;195,8569275;292,7617894;420599525
-46,81058757;12,75882336;15,1364704;650,7409874;9,408214365;41,87074722;414064825
19,36457102;7,582285563;-7,532571224;647,9377898;44,50787511;215,6896197;420530349
26,41647022;9,796470418;14,37058799;645,2945254;3,102490959;49,79050059;413289934
8,583529265;1,729411847;1,768235353;642,7350202;212,6147912;798,0934089;411104574
42,11058751;5,283529316;12,62588231;633,8032144;34,62543406;219,3942557;411822409
20,14344779;20,94827572;15,07034455;627,5511821;6,951528694;21,53547505;430180676
12,39764704;-24,68588212;26,3894114;626,4914138;28,6594917;80,91787554;421325025
-6,237272682;9,572727005;17,48727239;622,1542124;6,008477231;599,4900558;411150414
6,629411765;18,89529376;-14,40352918;619,9374477;37,25666408;243,1489481;414641283
-10,11656152;5,936574535;4,106602598;618,6991778;41,35662127;88,35418428;414249409
34,53959935;-0,506399878;21,36119973;615,7561117;91,34906318;190,4947282;411631589
-51,50307605;4,547692218;28,09538435;607,864446;12,25367564;271,7914151;411190894
6,629411541;-12,5752941;7,216470538;604,0932929;836,2336372;58,74423415;411369791
8,00048768;16,161951;-3,500487744;598,4937926;1,978516038;13,5712094;413614207
-17,10249977;6,069999929;13,32499998;596,0828136;159,7093526;268,4716919;420698435
14,7529412;25,1635289;-3,027058844;594,4909672;317,1172329;61,05935306;410262234
-34,04333289;2,143333311;-23,53999983;594,20799;71,68015173;90,73905796;420048447
13,45043474;2,413043478;0,845217452;590,0971373;111,2622381;49,25778546;411451993
-15,03906208;2,969284812;19,94761351;587,3650462;28,01790242;121,4018063;420442796
-64,12749904;42,89749958;56,32499929;583,0907247;81,033649;244,8986796;410720281
1,30666647;34,34888874;-9,344444203;579,7709327;2,321825991;34,22591593;420027619
11,56263144;5,505789391;27,92526259;578,711635;28,33130535;1231,821616;414100694
27,1327271;3,005454415;0,934545567;578,5953124;165,2605519;280,8220483;413313106
59,54588165;24,34705858;16,26352927;577,6764722;27,77318131;74,54453789;410434840
22,26612227;-6,241224316;20,63510191;577,0290242;59,38612119;78,50472523;412157501
22,19657129;3,212571399;22,63714257;570,4515284;39,07362456;6,508074094;413608265
10,42461501;2,881538401;-4,296923113;568,3794743;21,71908088;253,6060894;414504081
-22,59999967;0,036666647;-1,261666681;563,2002384;40,88021587;58,88869317;420775588
58,44071555;-13,90729456;8,875583526;562,0314944;478,152459;86,00451821;420599521
24,56399959;-3,387428494;1,302856914;561,4011793;2740,415041;792,3793748;414804293
-10,78352918;13,78705858;-9,632941003;560,9403258;363,4538752;816,6492183;413694244
6,066923065;4,13307688;-8,282307542;560,8630905;31,64466959;116,4520712;412680413
19,51764682;63,58823433;4,057646565;551,5649554;1471,869189;2985,50762;430229894
-1,481999993;12,85999993;0,43599998;526,308598;8,75056516;45,69366565;430167047
-38,32153796;-7,583076965;7,829999837;520,6327832;253,8135493;55,03802231;430254806
-25,49647024;8,030588086;14,87999975;519,8944881;811,9637488;402,9230729;420026530
14,48454552;11,69727264;15,74999976;518,8586189;54,47570486;120,9283695;414060166
-12,70421032;19,60421005;-27,60947316;516,3147251;107,6443338;28,73610559;420542090
3,4488;13,01039988;14,01119974;511,3854304;14,68280456;46,36203404;420475858
10,68588225;21,79411728;5,984705786;507,6103999;163,3253141;58,88892017;412298957
3,337499833;14,96749983;-4,809999868;503,5738741;6,743889406;13,10514703;413764157
18,60193526;-13,80193542;8,020645019;500,875062;512,1565037;34,46049163;414017290
-14,75999978;-151,39714;232,2278546;496,8583856;41342,29879;89514,85979;412038851
5,579999889;28,27999961;-36,03999928;494,6378766;24,32075105;417,4327054;430021394
0,969230796;14,68615372;5,930769085;493,0656915;112,4744556;17,03338239;414135482
-28,87909035;11,2336361;-36,02727268;490,3554244;17,73563254;189,3191069;410414712
14,62173913;12,63130413;-4,565217384;490,1535527;18,32362933;17,83077149;411451998
42,67176394;9,707058688;15,16470549;489,3986843;56,3594834;77,2628858;412335170
6,186666706;11,28999981;13,25666656;488,8164068;33,39921044;362,7044321;414109238
6,213157853;6,803684026;21,74684179;484,8514354;10,09119649;25,05963774;412017618
-21,98197025;-7,900628961;15,46799253;484,2440504;24,86035569;235,4386515;414234235
-14,45733331;1,955999964;13,92133316;478,7862472;4,040738037;206,3206552;414056034
26,43130398;5,536956421;1,228695627;474,9327428;27,78762474;12,58763788;412026751
13,03529387;2,610588162;-8,304705751;474,0416277;54,45509137;290,7625045;413570737
14,91257093;0,779999946;10,70399981;470,761026;118,4304678;119,1157806;414922317
-1,815294078;-1,36470588;-6,17176451;470,6710215;22,56837685;307,9238346;411968676
23,03384606;22,34461508;-5,347692187;470,2816031;2,581335963;33,78641172;412603721
-10,29798649;-21,12693529;10,74066785;469,8897981;15,66558773;115,1467425;421165530
5,4719998;9,147999903;12,6499998;467,6626782;9,22636075;2,753647593;430217403
35,45454532;32,60999955;8,274545395;466,8040846;208,6404775;21,09048317;420007534
7,199999958;-8,31500005;17,89999963;466,5524768;187,1195175;27,49575495;414207313
-41,01729678;13,10918903;-4,410810876;458,9758707;264,8559177;189,1487135;413551651
21,86117604;33,65411717;3,157646974;457,7720686;541,6944709;204,4670282;414342303
-1,5458823;12,75176452;4,142352805;456,0114959;132,6614872;63,90906262;414130063
40,77306049;22,63224478;7,880816171;455,8606393;10,00274693;71,57407921;411968513
3,818823451;4,223529327;12,78235275;452,4288071;420,3251998;110,2822472;413753138
86,36810775;-11,05984477;52,21977864;452,3544563;370,1685834;86,44109145;420599518
38,60842089;-13,10526293;56,61789442;450,7557524;214,3901196;224,834088;411365353
-3,611977268;-0,13241356;9,90872512;448,8370866;73,45118517;176,8809441;421025259
6,145714238;9,391428338;5,037142806;447,9575551;1,464342543;6,286491314;412226826
-12,0388233;-30,41647033;-24,02705844;445,94564;142,0380575;222,9447278;420595544
-21,84719973;-21,38639968;21,0503998;443,7606824;4,265423403;1,037003836;414426167
8,331891795;-3,418378286;21,81729709;443,2534206;137,8202898;413,0426669;400267660
-9,142500004;14,03499996;-1,107499963;442,9448646;12,46035624;5,293871478;413131376
-11,61411759;8,065882236;-5,889411535;441,84358;270,1100457;542,9390737;411624799
-8,425454536;28,09999975;-8,423636176;440,635952;1174,737272;103,0135324;413532749
7,796363603;-9,512727091;-14,30909064;438,5135032;2,299970406;5,285276901;414347442
11,0860463;11,29534876;4,960465016;437,8710444;107,7127002;31,71817969;420933030
-19,81499967;17,71249988;-26,24749954;435,7969672;440,6543817;17,86256725;430009381
-14,71161268;3,950322548;-9,56903207;433,1074453;390,3307369;62,56940696;412369724
-19,04999985;6,041538312;19,18384581;431,9925785;21,14258819;4,694561324;414150531
-3,778420974;22,18894705;-2,999999955;431,9675829;49,50308501;27,26542574;410262226
20,29294092;21,0094115;-16,00235278;431,4577276;61,48070798;241,7600507;410434826
10,26136362;2,918181696;1,388181795;431,0917047;61,04445881;631,0209786;411234611
